Date,Open,High,Low,Close,Adj Close
12/1/2012,9484.200195,10433.62988,9376.969727,10395.17969,10395.17969
1/1/2013,10604.5,11145.37988,10398.61035,11138.66016,11138.66016
2/1/2013,11193.71973,11662.51953,11046.91992,11559.36035,11559.36035
3/1/2013,11464.70996,12650.25977,11464.70996,12397.91016,12397.91016
4/1/2013,12371.33984,13983.87012,11805.78027,13860.86035,13860.86035
5/1/2013,13837.71973,15942.59961,13555.66016,13774.54004,13774.54004
6/1/2013,13551.36035,13724.44043,12415.84961,13677.32031,13677.32031
7/1/2013,13746.71973,14953.29004,13562.7002,13668.32031,13668.32031
8/1/2013,13674.5,14466.16016,13188.13965,13388.86035,13388.86035
9/1/2013,13438.07031,14817.5,13407.53027,14455.79981,14455.79981
10/1/2013,14517.98047,14799.28027,13748.94043,14327.94043,14327.94043
11/1/2013,14403.07031,15729.08984,14026.16992,15661.87012,15661.87012
12/1/2013,15659.74023,16320.21973,15112.54004,16291.30957,16291.30957
1/1/2014,16147.54004,16164.00977,14764.57031,14914.53027,14914.53027
2/1/2014,14788.55957,15094.54004,13995.86035,14841.07031,14841.07031
3/1/2014,14666.92969,15312.59961,14203.20996,14827.83008,14827.83008
4/1/2014,14870.50977,15164.38965,13885.11035,14304.11035,14304.11035
5/1/2014,14341.08984,14744.16016,13964.42969,14632.37988,14632.37988
6/1/2014,14777.50977,15442.66992,14777.50977,15162.09961,15162.09961
7/1/2014,15179.63965,15759.66016,15101.49023,15620.76953,15620.76953
8/1/2014,15511.54004,15628.78027,14753.83984,15424.58984,15424.58984
9/1/2014,15454.58984,16374.13965,15440.99023,16173.51953,16173.51953
10/1/2014,16173.38965,16533.91016,14529.03027,16413.75977,16413.75977
11/1/2014,16732.84961,17520.53906,16713.36914,17459.84961,17459.84961
12/1/2014,17475.09961,18030.83008,16672.93945,17450.76953,17450.76953
1/1/2015,17325.67969,17850.58984,16592.57031,17674.39063,17674.39063
2/1/2015,17536.60938,18865.39063,17271.86914,18797.93945,18797.93945
3/1/2015,18869.40039,19778.59961,18577.06055,19206.99023,19206.99023
4/1/2015,19129.75,20252.11914,18927.94922,19520.00977,19520.00977
5/1/2015,19510.84961,20655.33008,19257.84961,20563.15039,20563.15039
6/1/2015,20444.53906,20952.71094,19990.55078,20235.73047,20235.73047
7/1/2015,20291.05078,20850,19115.19922,20585.24023,20585.24023
8/1/2015,20540.21094,20946.92969,17714.30078,18890.48047,18890.48047
9/1/2015,18763.7207,18777.4707,16901.49023,17388.15039,17388.15039
10/1/2015,17479.9707,19202.33984,17389.57031,19083.09961,19083.09961
11/1/2015,18827.10938,19994.05078,18641.2207,19747.4707,19747.4707
12/1/2015,19799.08008,20012.40039,18562.50977,19033.71094,19033.71094
1/1/2016,18818.58008,18951.11914,16017.25977,17518.30078,17518.30078
2/1/2016,17699.59961,17905.36914,14865.76953,16026.75977,16026.75977
